Layer Name,OBJECTID,Shape,ObservationURI,WellName,APINo,HeaderURI,OtherID,OtherName,BoreholeName,Label,Operator,LeaseOwner,LeaseNo,SpudDate,EndedDrillingDate,WellType,Status,CommodityOfInterest,StatusDate,Function,Production,Field,County,State,PLSS_Meridians,TWP,RGE,Section_,SectionPart,Parcel,UTM_E,UTM_N,UTMDatumZone,LatDegree,LongDegree,SRS,LocationUncertaintyStatement,DrillerTotalDepth,LengthUnits,WellboreShape,TrueVerticalDepth,ElevationGL,BitDiameterCollar,BitDiameterTD,DiameterUnits,Notes,MaximumRecordedTemperature,MeasuredTemperature,CorrectedTemperature,TemperatureUnits,TimeSinceCirculation,CirculationDuration,MeasurementProcedure,CorrectionType,DepthOfMeasurement,MeasurementDateTime,MeasurementFormation,MeasurementSource,CasingLogger,CasingBottomDepthDriller,CasingPipeDiameter,CasingWeight,CasingWeightUnits,CasingThickness,DrillingFluid,Salinity,MudResistivity,Density,FluidLevel,pH,Viscosity,FluidLoss,InformationSource
BoreholeTemperature (AZBoreholeTemperatures),1882,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0307/,Texas Pacific Coal 4 Navajo-138,02-001-05302,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-05302/,116,,,Texas Pacific Coal 4 Navajo-138,Texas Pacific Coal,Navajo,,,,nil:missing,Dry Hole,nil:missing,,nil:missing,nil:missing,Dry Mesa,APACHE,Arizona,Gila and Salt River Meridian,T40N,28E,11,NE NW,,,,NAD83 zone 12,36.89459307,-109.3128159,WGS 84,nil:missing,5786,ft,,,5946,,7.875,in,Well on topo; pt moved to match (ERP). original measurment: 115 F. Converted to Centigrade.,,115,,F,,,Maximum temperature as reported on well log.,,5781,1960-10-10T00:00:00,Precambrian quartzite,"Temperature reported on well Induction Electrical log, log number 0116IEL, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,CHEM - GEL,,1 at 115 F,9.5,,,58,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1881,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0308/,Dry Mesa 2 Navajo-138,02-001-05303,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-05303/,106,,,Dry Mesa 2 Navajo-138,Dry Mesa (Tex Pacific),Navajo,,,,nil:missing,"Gas well, plugged abandoned",nil:missing,,nil:missing,nil:missing,Dry Mesa,APACHE,Arizona,Gila and Salt River Meridian,T40N,28E,12,SW NW,,,,NAD83 zone 12,36.89105293,-109.2990913,WGS 84,nil:missing,5758,ft,,,5967,,7.875,in,Well on topo; pt moved to match (ERP). original measurment: 106 F. Converted to Centigrade.,,106,,F,,,Maximum temperature as reported on well log.,,1107,1960-03-23T00:00:00,unknown,"Temperature reported on well Induction Electrical log, log number 0106IEL-1, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,NATIVE,,,9.7,,,45,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1880,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0309/,Dry Mesa 2 Navajo-138,02-001-05303,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-05303/,106,,,Dry Mesa 2 Navajo-138,Dry Mesa (Tex Pacific),Navajo,,,,nil:missing,"Gas well, plugged abandoned",nil:missing,,nil:missing,nil:missing,Dry Mesa,APACHE,Arizona,Gila and Salt River Meridian,T40N,28E,12,SW NW,,,,NAD83 zone 12,36.89105293,-109.2990913,WGS 84,nil:missing,5758,ft,,,5967,,7.875,in,Well on topo; pt moved to match (ERP). original measurment: 114 F. Converted to Centigrade.,,114,,F,,,Maximum temperature as reported on well log.,,5751,1960-04-24T00:00:00,Precambrian quartzite,"Temperature reported on well Induction Electrical log, log number 0106IEL, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,CHEM - GEL,,.79 at 114 F,10,,75,60,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1879,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0424/,Union Oil 1-M17 Navajo,02-001-20121,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-20121/,522,,,Union Oil 1-M17 Navajo,Union Oil,Navajo,,,,nil:missing,Dry Hole,nil:missing,,nil:missing,nil:missing,Wildcat,APACHE,Arizona,Gila and Salt River Meridian,T36N,29E,17,SW SW,,,,NAD83 zone 12,36.52229637,-109.2514016,WGS 84,nil:missing,5045,ft,,,7693,,,in,Well on topo; pt moved to match (ERP). original measurment: 104 F. Converted to Centigrade.,,104,,F,3,,Maximum temperature as reported on well log.,,5017,1969-12-05T00:00:00,Mississippian,"Temperature reported on well Dual Induction Laterolog (Run One) log number 0522DILL, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,FGM,,2.10 at 104 F,9.1,,8.4,35,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1864,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0396/,Consolidated Oil 2-13 Navajo,02-001-20090,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-20090/,481,,,Consolidated Oil 2-13 Navajo,Consolidated Oil,Navajo,,,,nil:missing,"Salt water disposal well, plugged abanoned",nil:missing,,nil:missing,nil:missing,East Boundary Butte,APACHE,Arizona,Gila and Salt River Meridian,T41N,28E,2,SW SW,,,,NAD83 zone 12,36.98315266,-109.315593,WGS 84,nil:missing,5888,ft,,,5363,,8.75,in,Well on topo (ERP). original measurment: 106 F. Converted to Centigrade.,,106,,F,2,,Maximum temperature as reported on well log.,,5883,1969-01-13T00:00:00,Miss Whitmore Wash?,"Temperature reported on well Dual Induction Laterolog, log number 0481DILL, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,FGM,,1.12 at 106,9.2,,5.2,50,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1863,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0400/,Merrion 3-11 Navajo,02-001-20095,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-20095/,490,,,Merrion 3-11 Navajo,Merrion (Consolidated Oil and Gas),Navajo,,,,nil:missing,Shut in oil well,nil:missing,,nil:missing,nil:missing,East Boundary Butte,APACHE,Arizona,Gila and Salt River Meridian,T41N,28E,3,NE SW,,,,NAD83 zone 12,36.98708554,-109.329844,WGS 84,Located within 350meters. ,5696,ft,,,5331,,7.875,in,Nothing on topo; imagery shows disturbed area (ERP). original measurment: 112 F. Converted to Centigrade.,,112,,F,16,,Maximum temperature as reported on well log.,,5692,1969-04-09T00:00:00,Mississippian,"Temperature reported on well Borehole Compensated Sonic log, log number 0490BHCS, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,FGM,,1.29 at 112 F,9,,10.5,48,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1862,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0401/,Merrion 3-11 Navajo,02-001-20095,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-20095/,490,,,Merrion 3-11 Navajo,Merrion (Consolidated Oil and Gas),Navajo,,,,nil:missing,Shut in oil well,nil:missing,,nil:missing,nil:missing,East Boundary Butte,APACHE,Arizona,Gila and Salt River Meridian,T41N,28E,3,NE SW,,,,NAD83 zone 12,36.98708554,-109.329844,WGS 84,Located within 350meters. ,5696,ft,,,5331,,7.875,in,Nothing on topo; imagery shows disturbed area (ERP). original measurment: 116 F. Converted to Centigrade.,,116,,F,,,Maximum temperature as reported on well log.,,3509,1969-04-10T00:00:00,Mississippian,"Temperature reported on well Temperature Survey log number 0490TL, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,,,,,,,,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1861,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0402/,Gulf Oil 1 Navajo-BS,02-001-20096,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-20096/,491,,,Gulf Oil 1 Navajo-BS,Gulf Oil,Navajo,,,,nil:missing,Dry Hole,nil:missing,,nil:missing,nil:missing,Wildcat,APACHE,Arizona,Gila and Salt River Meridian,T37N,29E,12,NW NE,,,,NAD83 zone 12,36.63382856,-109.1818211,WGS 84,Located within 330meters. ,4131,ft,,,5971,,7.875,in,Nothing on topo or imagery (ERP). original measurment: 102 F. Converted to Centigrade.,,102,,F,3,,Maximum temperature as reported on well log.,,4129,1969-05-02T00:00:00,Precambrian granite,"Temperature reported on well Induction Electrical log, log number 0491IEL, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,FGM,,1.4 at 102 F,9.1,,10,45,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1860,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0403/,Riddle and Gottlieb 1 Navajo,02-001-20097,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-20097/,494,,,Riddle and Gottlieb 1 Navajo,Riddle/Gottlieb,Navajo,,,,nil:missing,Dry Hole,nil:missing,,nil:missing,nil:missing,Wildcat,APACHE,Arizona,Gila and Salt River Meridian,T36N,27E,30,SW NW,,,,NAD83 zone 12,36.49924134,-109.4823692,WGS 84,nil:missing,3449,ft,,,5352,,6.75,in,Nothing on topo; likely location on imagery (ERP). original measurment: 103 F. Converted to Centigrade.,,103,,F,2,,Maximum temperature as reported on well log.,,3434,1969-05-12T00:00:00,Miss Horseshoe Mesa,"Temperature reported on well Induction Electrical log, log number 0494IEL, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,CHEM - GEL,,2.25 at 103 F,9.2,,8.5,33,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1858,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0405/,Depco 4-2 Navajo,02-001-20099,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-20099/,497,,,Depco 4-2 Navajo,Depco,Navajo,,,,nil:missing,Dry Hole,nil:missing,,nil:missing,nil:missing,Wildcat,APACHE,Arizona,Gila and Salt River Meridian,T38N,30E,2,NW NW,,,,NAD83 zone 12,36.7349258,-109.1024386,WGS 84,nil:missing,5002,ft,,,6314,,8.75,in,Well on topo; pt moved to match (ERP). original measurment: 115 F. Converted to Centigrade.,,115,,F,2,,Maximum temperature as reported on well log.,,4972,1969-06-15T00:00:00,Devonian (Tert. sill),"Temperature reported on well Induction Electrical log, log number 0497IEL, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,FGM,,1.08 at 115 F,9.1,,,58,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1855,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0408/,Monsanto Carrizo 1 Navajo,02-001-20103,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-20103/,503,,,Monsanto Carrizo 1 Navajo,Monsanto Carrizo,Navajo,,,,nil:missing,Dry Hole,nil:missing,,nil:missing,nil:missing,Wildcat,APACHE,Arizona,Gila and Salt River Meridian,T39N,29E,1,SE SE,,,,NAD83 zone 12,36.81162723,-109.1777016,WGS 84,nil:missing,8442,ft,,,8895,,7.875,in,Well on topo; pt moved to match (ERP). original measurment: 114 F. Converted to Centigrade.,,114,,F,4,,Maximum temperature as reported on well log.,,8442,1969-10-15T00:00:00,Devonian Ouray - igneous,"Temperature reported on well Induction Electrical log, log number 0503IEL, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,FGM,,1.74 at 114 F,8.9,,8.5,43,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1853,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0410/,Gulf Oil 1 Navajo-CS,02-001-20107,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-20107/,507,,,Gulf Oil 1 Navajo-CS,Gulf Oil,Navajo,,,,nil:missing,Dry Hole,nil:missing,,nil:missing,nil:missing,Wildcat,APACHE,Arizona,Gila and Salt River Meridian,T37N,30E,34,NE NE,,,,NAD83 zone 12,36.5759843,-109.1047608,WGS 84,Located within 390meters. ,4589,ft,,,6046,,7.875,in,Nothing on topo or imagery (ERP). original measurment: 110 F. Converted to Centigrade.,,110,,F,2,,Maximum temperature as reported on well log.,,4588,1969-07-28T00:00:00,Precambrian granite,"Temperature reported on well Induction Electrical log, log number 0507IEL, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,FGM,,1.38 at 110 F,9.3,,8,40,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1852,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0411/,Globe Minerals 1 Navajo,02-001-20108,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-20108/,508,,,Globe Minerals 1 Navajo,Globe Minerals,Navajo,,,,nil:missing,Dry Hole,nil:missing,,nil:missing,nil:missing,East Boundary Butte,APACHE,Arizona,Gila and Salt River Meridian,T41N,28E,5,SE SE,,,,NAD83 zone 12,36.98263181,-109.3563247,WGS 84,Located within 395meters. ,5688,ft,,,5443,,7.875,in,Nothing on topo or imagery (ERP). original measurment: 113 F. Converted to Centigrade.,,113,,F,3,,Maximum temperature as reported on well log.,,5692,1969-07-20T00:00:00,Pennsylvanian,"Temperature reported on well Dual Induction Laterolog, log number 0508DILL, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,FGM,,1.46 at 113 F,9.2,,,38,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1851,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0412/,Ari-Mex 4 Navajo-E,02-001-20109,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-20109/,509,,,Ari-Mex 4 Navajo-E,Ari-Mex (Globe),Navajo,,,,nil:missing,"Oil well, plugged abandoned",nil:missing,,nil:missing,nil:missing,East Boundary Butte,APACHE,Arizona,Gila and Salt River Meridian,T41N,28E,9,NE NW,,,,NAD83 zone 12,36.98016248,-109.3464654,WGS 84,Located within 425meters. ,5212,ft,,,5546,,7.875,in,Nothing on topo or imagery (ERP). original measurment: 104 F. Converted to Centigrade.,,104,,F,2,,Maximum temperature as reported on well log.,,5196,1969-08-06T00:00:00,Pennsylvanian Akah,"Temperature reported on well Dual Induction Laterolog, log number 0509DILL, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,FGM,,1.22 at 104 F,9.1,,10.5,4.5,,Arizona Geological Survey - 2012
BoreholeTemperature (AZBoreholeTemperatures),1849,,http://resources.usgin.org/uri-gin/azgs/bhtemp/0414/,Ari-Mex 1 Navajo-E,02-001-20111,http://resources.usgin.org/uri-gin/azgs/well/api:02-001-20111/,511,,,Ari-Mex 1 Navajo-E,Ari-Mex (AAA),Navajo,,,,nil:missing,"Oil well, plugged abandoned",nil:missing,,nil:missing,nil:missing,East Boundary Butte,APACHE,Arizona,Gila and Salt River Meridian,T41N,28E,9,NW NE,,,,NAD83 zone 12,36.97856632,-109.3402397,WGS 84,nil:missing,4987,ft,,,5400,,8.75,in,Well on topo (ERP). original measurment: 102 F. Converted to Centigrade.,,102,,F,4,,Maximum temperature as reported on well log.,,4975,1969-10-23T00:00:00,Pennsylvanian Akah,"Temperature reported on well Dual Induction Laterolog, log number 0511DILL, compiled by L. Musil and A. Mott.  QA/QC by S. M. Richard and C. Coleman 04-01-2011.",,,,,,,FGM,,1.2 at 102 F,8.9,,8,43,,Arizona Geological Survey - 2012
